2025-12-04T22:38:15.275536 | Episode 1 | reward: 10.6500 | coverage: 0.3333 | loss: 0.0000 | episode: 1
2025-12-04T22:38:15.361120 | Episode 2 | reward: 14.0333 | coverage: 0.3333 | loss: 0.0000 | episode: 2
2025-12-04T22:38:15.443348 | Episode 3 | reward: 14.0333 | coverage: 0.1667 | loss: 0.0000 | episode: 3
2025-12-04T22:38:15.520773 | Episode 4 | reward: 27.7000 | coverage: 0.0000 | loss: 0.0000 | episode: 4
2025-12-04T22:38:15.599279 | Episode 5 | reward: 27.8167 | coverage: 0.1667 | loss: 0.0000 | episode: 5
2025-12-04T22:38:15.680063 | Episode 6 | reward: 9.7500 | coverage: 0.1667 | loss: 0.0000 | episode: 6
2025-12-04T22:38:15.758730 | Episode 7 | reward: 14.9667 | coverage: 0.1667 | loss: 0.0000 | episode: 7
2025-12-04T22:38:15.836136 | Episode 8 | reward: 10.6667 | coverage: 0.0000 | loss: 0.0000 | episode: 8
2025-12-04T22:38:15.916518 | Episode 9 | reward: 6.3667 | coverage: 0.1667 | loss: 0.0000 | episode: 9
2025-12-04T22:38:15.995890 | Episode 10 | reward: 20.1833 | coverage: 0.5000 | loss: 0.0000 | episode: 10
2025-12-04T22:38:16.076966 | Episode 11 | reward: 11.5667 | coverage: 0.1667 | loss: 0.0000 | episode: 11
2025-12-04T22:38:16.156525 | Episode 12 | reward: 11.7000 | coverage: 0.0000 | loss: 0.0000 | episode: 12
2025-12-04T22:38:16.236302 | Episode 13 | reward: 15.6833 | coverage: 0.1667 | loss: 0.0000 | episode: 13
2025-12-04T22:38:16.318525 | Episode 14 | reward: 11.0667 | coverage: 0.1667 | loss: 0.0000 | episode: 14
2025-12-04T22:38:16.399699 | Episode 15 | reward: 24.5667 | coverage: 0.1667 | loss: 0.0000 | episode: 15
2025-12-04T22:38:16.478875 | Episode 16 | reward: 28.0333 | coverage: 0.1667 | loss: 0.0000 | episode: 16
2025-12-04T22:38:16.561867 | Episode 17 | reward: 17.2833 | coverage: 0.1667 | loss: 0.0000 | episode: 17
2025-12-04T22:38:16.639201 | Episode 18 | reward: 11.9167 | coverage: 0.3333 | loss: 0.0000 | episode: 18
2025-12-04T22:38:16.716857 | Episode 19 | reward: 26.0167 | coverage: 0.0000 | loss: 0.0000 | episode: 19
2025-12-04T22:38:16.797328 | Episode 20 | reward: 22.8833 | coverage: 0.1667 | loss: 0.0000 | episode: 20
2025-12-04T22:38:16.877832 | Episode 21 | reward: 25.3500 | coverage: 0.1667 | loss: 0.0000 | episode: 21
2025-12-04T22:38:16.954047 | Episode 22 | reward: 15.9500 | coverage: 0.0000 | loss: 0.0000 | episode: 22
2025-12-04T22:38:17.032278 | Episode 23 | reward: 18.8167 | coverage: 0.1667 | loss: 0.0000 | episode: 23
2025-12-04T22:38:17.108221 | Episode 24 | reward: 31.4833 | coverage: 0.6667 | loss: 0.0000 | episode: 24
2025-12-04T22:38:17.185998 | Episode 25 | reward: 21.5500 | coverage: 0.0000 | loss: 0.0000 | episode: 25
2025-12-04T22:38:17.262630 | Episode 26 | reward: 16.9667 | coverage: 0.0000 | loss: 0.0000 | episode: 26
2025-12-04T22:38:17.342715 | Episode 27 | reward: 22.0833 | coverage: 0.0000 | loss: 0.0000 | episode: 27
2025-12-04T22:38:17.419278 | Episode 28 | reward: 27.9833 | coverage: 0.0000 | loss: 0.0000 | episode: 28
2025-12-04T22:38:17.495763 | Episode 29 | reward: 10.0333 | coverage: 0.3333 | loss: 0.0000 | episode: 29
2025-12-04T22:38:17.572795 | Episode 30 | reward: 9.2000 | coverage: 0.1667 | loss: 0.0000 | episode: 30
2025-12-04T22:38:17.647928 | Episode 31 | reward: 19.0833 | coverage: 0.1667 | loss: 0.0000 | episode: 31
2025-12-04T22:38:19.960351 | Episode 32 | reward: 20.7167 | coverage: 0.1667 | loss: 0.0295 | episode: 32
2025-12-04T22:38:21.662768 | Episode 33 | reward: 12.4833 | coverage: 0.3333 | loss: 0.0137 | episode: 33
2025-12-04T22:38:23.366783 | Episode 34 | reward: 9.2667 | coverage: 0.1667 | loss: 0.0131 | episode: 34
2025-12-04T22:38:25.123374 | Episode 35 | reward: 18.4833 | coverage: 0.0000 | loss: 0.0130 | episode: 35
2025-12-04T22:38:26.881197 | Episode 36 | reward: 8.2000 | coverage: 0.0000 | loss: 0.0129 | episode: 36
2025-12-04T22:38:28.774662 | Episode 37 | reward: 24.0333 | coverage: 0.3333 | loss: 0.0127 | episode: 37
2025-12-04T22:38:30.635394 | Episode 38 | reward: 20.7000 | coverage: 0.1667 | loss: 0.0128 | episode: 38
2025-12-04T22:38:32.384830 | Episode 39 | reward: 15.9000 | coverage: 0.0000 | loss: 0.0130 | episode: 39
2025-12-04T22:38:34.239299 | Episode 40 | reward: 22.1500 | coverage: 0.3333 | loss: 0.0132 | episode: 40
2025-12-04T22:38:36.083817 | Episode 41 | reward: 7.1000 | coverage: 0.0000 | loss: 0.0136 | episode: 41
2025-12-04T22:38:37.928507 | Episode 42 | reward: 7.9000 | coverage: 0.0000 | loss: 0.0127 | episode: 42
2025-12-04T22:38:39.724141 | Episode 43 | reward: 17.3333 | coverage: 0.1667 | loss: 0.0124 | episode: 43
2025-12-04T22:38:41.570144 | Episode 44 | reward: 12.1333 | coverage: 0.0000 | loss: 0.0119 | episode: 44
2025-12-04T22:38:43.392685 | Episode 45 | reward: 9.3333 | coverage: 0.0000 | loss: 0.0124 | episode: 45
2025-12-04T22:38:45.126960 | Episode 46 | reward: 28.3667 | coverage: 0.0000 | loss: 0.0128 | episode: 46
2025-12-04T22:38:46.838296 | Episode 47 | reward: 30.5333 | coverage: 0.0000 | loss: 0.0134 | episode: 47
2025-12-04T22:38:48.604273 | Episode 48 | reward: 21.2333 | coverage: 0.0000 | loss: 0.0120 | episode: 48
2025-12-04T22:38:50.520445 | Episode 49 | reward: 19.8167 | coverage: 0.0000 | loss: 0.0123 | episode: 49
2025-12-04T22:38:52.348243 | Episode 50 | reward: 22.3333 | coverage: 0.1667 | loss: 0.0122 | episode: 50
