2025-12-03T10:11:00.052133 | Episode 8 | reward: 17.6667 | coverage: 0.0000 | loss: 0.0000 | episode: 8
2025-12-03T10:11:00.246701 | Episode 16 | reward: 18.1667 | coverage: 0.0000 | loss: 0.0000 | episode: 16
2025-12-03T10:11:00.431051 | Episode 24 | reward: 9.1667 | coverage: 0.3333 | loss: 0.0000 | episode: 24
2025-12-03T10:11:10.883434 | Episode 32 | reward: 15.0000 | coverage: 0.0000 | loss: 0.0172 | episode: 32
2025-12-03T10:11:20.931221 | Episode 40 | reward: 11.5000 | coverage: 0.0000 | loss: 0.0129 | episode: 40
2025-12-03T10:11:30.951482 | Episode 48 | reward: 11.0000 | coverage: 0.0000 | loss: 0.0131 | episode: 48
2025-12-03T10:11:40.994029 | Episode 56 | reward: 17.0000 | coverage: 0.0000 | loss: 0.0126 | episode: 56
2025-12-03T10:11:51.355668 | Episode 64 | reward: 33.5167 | coverage: 0.0000 | loss: 0.0132 | episode: 64
2025-12-03T10:12:01.381376 | Episode 72 | reward: 17.8333 | coverage: 0.1667 | loss: 0.0121 | episode: 72
2025-12-03T10:12:11.412306 | Episode 80 | reward: 11.8333 | coverage: 0.1667 | loss: 0.0126 | episode: 80
2025-12-03T10:12:21.447648 | Episode 88 | reward: 17.6667 | coverage: 0.1667 | loss: 0.0133 | episode: 88
2025-12-03T10:12:31.443359 | Episode 96 | reward: 13.8333 | coverage: 0.0000 | loss: 0.0119 | episode: 96
2025-12-03T10:12:46.369823 | Episode 104 | reward: 15.0000 | coverage: 0.3333 | loss: 0.0124 | episode: 104
2025-12-03T10:13:01.271300 | Episode 112 | reward: 16.3333 | coverage: 0.1667 | loss: 0.0115 | episode: 112
2025-12-03T10:13:16.570431 | Episode 120 | reward: 19.5000 | coverage: 0.1667 | loss: 0.0116 | episode: 120
2025-12-03T10:13:31.433233 | Episode 128 | reward: 13.3333 | coverage: 0.1667 | loss: 0.0123 | episode: 128
2025-12-03T10:13:46.351959 | Episode 136 | reward: 13.1667 | coverage: 0.1667 | loss: 0.0119 | episode: 136
2025-12-03T10:14:01.501461 | Episode 144 | reward: 27.8167 | coverage: 0.1667 | loss: 0.0123 | episode: 144
2025-12-03T10:14:16.868111 | Episode 152 | reward: 11.8333 | coverage: 0.1667 | loss: 0.0121 | episode: 152
2025-12-03T10:14:31.746641 | Episode 160 | reward: 14.8333 | coverage: 0.3333 | loss: 0.0133 | episode: 160
2025-12-03T10:14:46.621296 | Episode 168 | reward: 16.8333 | coverage: 0.1667 | loss: 0.0118 | episode: 168
2025-12-03T10:15:02.715320 | Episode 176 | reward: 15.3333 | coverage: 0.3333 | loss: 0.0118 | episode: 176
2025-12-03T10:15:18.325231 | Episode 184 | reward: 13.1667 | coverage: 0.3333 | loss: 0.0125 | episode: 184
2025-12-03T10:15:33.691240 | Episode 192 | reward: 14.8333 | coverage: 0.0000 | loss: 0.0121 | episode: 192
2025-12-03T10:15:49.173253 | Episode 200 | reward: 18.8333 | coverage: 0.3333 | loss: 0.0117 | episode: 200
2025-12-03T10:16:04.715225 | Episode 208 | reward: 24.0000 | coverage: 0.1667 | loss: 0.0125 | episode: 208
2025-12-03T10:16:20.192321 | Episode 216 | reward: 19.0000 | coverage: 0.3333 | loss: 0.0117 | episode: 216
2025-12-03T10:16:35.645530 | Episode 224 | reward: 9.5000 | coverage: 0.3333 | loss: 0.0113 | episode: 224
2025-12-03T10:16:51.596836 | Episode 232 | reward: 20.1000 | coverage: 0.0000 | loss: 0.0117 | episode: 232
2025-12-03T10:17:07.169810 | Episode 240 | reward: 12.0000 | coverage: 0.0000 | loss: 0.0116 | episode: 240
2025-12-03T10:17:22.669201 | Episode 248 | reward: 26.0000 | coverage: 0.1667 | loss: 0.0117 | episode: 248
2025-12-03T10:17:38.150426 | Episode 256 | reward: 25.3333 | coverage: 0.1667 | loss: 0.0116 | episode: 256
2025-12-03T10:17:53.614539 | Episode 264 | reward: 3.8333 | coverage: 0.0000 | loss: 0.0110 | episode: 264
2025-12-03T10:18:09.140966 | Episode 272 | reward: 15.0000 | coverage: 0.5000 | loss: 0.0116 | episode: 272
2025-12-03T10:18:24.481423 | Episode 280 | reward: 22.0000 | coverage: 0.5000 | loss: 0.0110 | episode: 280
2025-12-03T10:18:40.248304 | Episode 288 | reward: 25.1667 | coverage: 0.0000 | loss: 0.0116 | episode: 288
2025-12-03T10:18:55.804555 | Episode 296 | reward: 20.0000 | coverage: 0.3333 | loss: 0.0114 | episode: 296
2025-12-03T10:19:11.427144 | Episode 304 | reward: 16.3333 | coverage: 0.0000 | loss: 0.0113 | episode: 304
2025-12-03T10:19:26.811481 | Episode 312 | reward: 23.6667 | coverage: 0.0000 | loss: 0.0115 | episode: 312
2025-12-03T10:19:44.019090 | Episode 320 | reward: 16.6667 | coverage: 0.0000 | loss: 0.0121 | episode: 320
2025-12-03T10:19:59.849331 | Episode 328 | reward: 16.0000 | coverage: 0.0000 | loss: 0.0117 | episode: 328
2025-12-03T10:20:15.357660 | Episode 336 | reward: 19.1667 | coverage: 0.0000 | loss: 0.0113 | episode: 336
2025-12-03T10:20:31.085262 | Episode 344 | reward: 21.8333 | coverage: 0.1667 | loss: 0.0118 | episode: 344
2025-12-03T10:20:46.485916 | Episode 352 | reward: 12.0000 | coverage: 0.3333 | loss: 0.0121 | episode: 352
2025-12-03T10:21:01.814751 | Episode 360 | reward: 17.5000 | coverage: 0.0000 | loss: 0.0124 | episode: 360
2025-12-03T10:21:17.278686 | Episode 368 | reward: 20.5000 | coverage: 0.0000 | loss: 0.0106 | episode: 368
2025-12-03T10:21:32.638645 | Episode 376 | reward: 11.0000 | coverage: 0.1667 | loss: 0.0114 | episode: 376
2025-12-03T10:21:48.177892 | Episode 384 | reward: 13.0000 | coverage: 0.0000 | loss: 0.0112 | episode: 384
2025-12-03T10:22:03.585745 | Episode 392 | reward: 16.6667 | coverage: 0.1667 | loss: 0.0120 | episode: 392
2025-12-03T10:22:19.306156 | Episode 400 | reward: 12.6667 | coverage: 0.0000 | loss: 0.0115 | episode: 400
2025-12-03T10:22:34.706067 | Episode 408 | reward: 24.0000 | coverage: 0.1667 | loss: 0.0115 | episode: 408
2025-12-03T10:22:50.203229 | Episode 416 | reward: 17.8333 | coverage: 0.0000 | loss: 0.0113 | episode: 416
2025-12-03T10:23:05.611606 | Episode 424 | reward: 26.0000 | coverage: 0.0000 | loss: 0.0113 | episode: 424
2025-12-03T10:23:21.200680 | Episode 432 | reward: 19.3333 | coverage: 0.1667 | loss: 0.0110 | episode: 432
2025-12-03T10:23:36.604909 | Episode 440 | reward: 16.5000 | coverage: 0.0000 | loss: 0.0115 | episode: 440
2025-12-03T10:23:52.038246 | Episode 448 | reward: 9.0000 | coverage: 0.1667 | loss: 0.0118 | episode: 448
2025-12-03T10:24:08.018666 | Episode 456 | reward: 8.3333 | coverage: 0.0000 | loss: 0.0121 | episode: 456
2025-12-03T10:24:23.462384 | Episode 464 | reward: 20.8333 | coverage: 0.0000 | loss: 0.0118 | episode: 464
2025-12-03T10:24:39.048967 | Episode 472 | reward: 10.6667 | coverage: 0.1667 | loss: 0.0119 | episode: 472
2025-12-03T10:24:54.520851 | Episode 480 | reward: 14.1667 | coverage: 0.0000 | loss: 0.0113 | episode: 480
2025-12-03T10:25:10.120579 | Episode 488 | reward: 13.0000 | coverage: 0.3333 | loss: 0.0119 | episode: 488
2025-12-03T10:25:25.556375 | Episode 496 | reward: 9.6667 | coverage: 0.1667 | loss: 0.0116 | episode: 496
2025-12-03T10:25:41.000258 | Episode 504 | reward: 25.3333 | coverage: 0.3333 | loss: 0.0108 | episode: 504
2025-12-03T10:25:56.909476 | Episode 512 | reward: 19.3333 | coverage: 0.0000 | loss: 0.0108 | episode: 512
2025-12-03T10:26:12.360988 | Episode 520 | reward: 16.3333 | coverage: 0.1667 | loss: 0.0114 | episode: 520
2025-12-03T10:26:27.748609 | Episode 528 | reward: 13.0000 | coverage: 0.1667 | loss: 0.0117 | episode: 528
2025-12-03T10:26:43.042395 | Episode 536 | reward: 21.0000 | coverage: 0.5000 | loss: 0.0115 | episode: 536
2025-12-03T10:26:58.453617 | Episode 544 | reward: 15.3333 | coverage: 0.0000 | loss: 0.0114 | episode: 544
2025-12-03T10:27:14.480797 | Episode 552 | reward: 22.5000 | coverage: 0.3333 | loss: 0.0111 | episode: 552
2025-12-03T10:27:29.953509 | Episode 560 | reward: 14.6667 | coverage: 0.5000 | loss: 0.0119 | episode: 560
2025-12-03T10:27:45.744744 | Episode 568 | reward: 36.9667 | coverage: 0.6667 | loss: 0.0109 | episode: 568
2025-12-03T10:28:01.038803 | Episode 576 | reward: 15.5000 | coverage: 0.0000 | loss: 0.0119 | episode: 576
2025-12-03T10:28:16.456694 | Episode 584 | reward: 28.1667 | coverage: 0.3333 | loss: 0.0128 | episode: 584
2025-12-03T10:28:31.993807 | Episode 592 | reward: 16.8333 | coverage: 0.0000 | loss: 0.0121 | episode: 592
2025-12-03T10:28:47.502771 | Episode 600 | reward: 18.5000 | coverage: 0.3333 | loss: 0.0120 | episode: 600
2025-12-03T10:29:02.901702 | Episode 608 | reward: 12.3333 | coverage: 0.0000 | loss: 0.0118 | episode: 608
2025-12-03T10:29:19.191343 | Episode 616 | reward: 23.3333 | coverage: 0.1667 | loss: 0.0116 | episode: 616
2025-12-03T10:29:35.782311 | Episode 624 | reward: 24.3333 | coverage: 0.3333 | loss: 0.0116 | episode: 624
2025-12-03T10:29:51.385502 | Episode 632 | reward: 11.0000 | coverage: 0.1667 | loss: 0.0118 | episode: 632
2025-12-03T10:30:06.857230 | Episode 640 | reward: 13.6667 | coverage: 0.1667 | loss: 0.0126 | episode: 640
2025-12-03T10:30:22.431590 | Episode 648 | reward: 35.9000 | coverage: 0.1667 | loss: 0.0120 | episode: 648
2025-12-03T10:30:38.060769 | Episode 656 | reward: 11.1667 | coverage: 0.1667 | loss: 0.0115 | episode: 656
2025-12-03T10:30:53.875575 | Episode 664 | reward: 26.5000 | coverage: 0.1667 | loss: 0.0112 | episode: 664
2025-12-03T10:31:09.472173 | Episode 672 | reward: 31.8333 | coverage: 0.5000 | loss: 0.0119 | episode: 672
2025-12-03T10:31:25.093977 | Episode 680 | reward: 17.1667 | coverage: 0.1667 | loss: 0.0118 | episode: 680
2025-12-03T10:31:40.514524 | Episode 688 | reward: 25.6667 | coverage: 0.1667 | loss: 0.0120 | episode: 688
2025-12-03T10:31:55.845258 | Episode 696 | reward: 11.8333 | coverage: 0.0000 | loss: 0.0111 | episode: 696
2025-12-03T10:32:11.471114 | Episode 704 | reward: 4.3333 | coverage: 0.1667 | loss: 0.0112 | episode: 704
2025-12-03T10:32:26.856735 | Episode 712 | reward: 19.5000 | coverage: 0.1667 | loss: 0.0121 | episode: 712
2025-12-03T10:32:42.243386 | Episode 720 | reward: 15.1667 | coverage: 0.5000 | loss: 0.0111 | episode: 720
2025-12-03T10:32:57.763688 | Episode 728 | reward: 17.8333 | coverage: 0.1667 | loss: 0.0118 | episode: 728
2025-12-03T10:33:13.539288 | Episode 736 | reward: 16.6667 | coverage: 0.0000 | loss: 0.0118 | episode: 736
2025-12-03T10:33:29.016106 | Episode 744 | reward: 11.8333 | coverage: 0.1667 | loss: 0.0122 | episode: 744
2025-12-03T10:33:44.284674 | Episode 752 | reward: 18.8333 | coverage: 0.3333 | loss: 0.0116 | episode: 752
2025-12-03T10:33:59.578301 | Episode 760 | reward: 20.5000 | coverage: 0.3333 | loss: 0.0116 | episode: 760
2025-12-03T10:34:15.192041 | Episode 768 | reward: 15.6667 | coverage: 0.0000 | loss: 0.0121 | episode: 768
2025-12-03T10:34:30.497263 | Episode 776 | reward: 14.5000 | coverage: 0.0000 | loss: 0.0117 | episode: 776
2025-12-03T10:34:45.852468 | Episode 784 | reward: 10.8333 | coverage: 0.1667 | loss: 0.0119 | episode: 784
2025-12-03T10:35:01.550635 | Episode 792 | reward: 17.6667 | coverage: 0.1667 | loss: 0.0118 | episode: 792
2025-12-03T10:35:17.032432 | Episode 800 | reward: 15.6667 | coverage: 0.1667 | loss: 0.0110 | episode: 800
2025-12-03T10:35:32.480487 | Episode 808 | reward: 12.5000 | coverage: 0.1667 | loss: 0.0124 | episode: 808
2025-12-03T10:35:47.795949 | Episode 816 | reward: 14.1667 | coverage: 0.1667 | loss: 0.0120 | episode: 816
2025-12-03T10:36:03.128844 | Episode 824 | reward: 20.1667 | coverage: 0.1667 | loss: 0.0122 | episode: 824
2025-12-03T10:36:18.623386 | Episode 832 | reward: 15.5000 | coverage: 0.1667 | loss: 0.0115 | episode: 832
2025-12-03T10:36:34.122143 | Episode 840 | reward: 15.8333 | coverage: 0.0000 | loss: 0.0118 | episode: 840
2025-12-03T10:36:50.035374 | Episode 848 | reward: 16.1667 | coverage: 0.1667 | loss: 0.0115 | episode: 848
2025-12-03T10:37:05.407333 | Episode 856 | reward: 28.5000 | coverage: 0.1667 | loss: 0.0114 | episode: 856
2025-12-03T10:37:22.683011 | Episode 864 | reward: 18.6667 | coverage: 0.1667 | loss: 0.0147 | episode: 864
2025-12-03T10:37:41.244248 | Episode 872 | reward: 16.3333 | coverage: 0.3333 | loss: 0.0128 | episode: 872
2025-12-03T10:37:56.907959 | Episode 880 | reward: 19.6667 | coverage: 0.0000 | loss: 0.0117 | episode: 880
2025-12-03T10:38:12.459112 | Episode 888 | reward: 15.0000 | coverage: 0.0000 | loss: 0.0125 | episode: 888
2025-12-03T10:38:27.927662 | Episode 896 | reward: 20.5000 | coverage: 0.0000 | loss: 0.0124 | episode: 896
